Site_Code,Site,Lat,Lon,Y_Axis_Order,Operational_Date
BN1,Boyer Park North 1,,,1,
BN2,Boyer Park North 2,,,2,
BO1,Juvenile Fish Bypass Outflow 1,,,13,
BO2,Juvenile Fish Bypass Outflow 2,,,14,
BS1,Boyer Park South 1,,,3,
BS2,Boyer Park South 2,,,4,
LD1,Ladder Entrance 1,,,18,
LD2,Ladder Entrance 2,,,19,
LE1,Lock Entrance 1,,,16,
LE2,Lock Entrance 2,,,17,
LW1,Lower Wing Wall 1,,,11,
LW2,Lower Wing Wall 2,,,12,
XN1,Granite Exit North 1,,,6,
XN2,Granite Exit North 2,,,7,
XS1,Granite Exit South 1,,,8,
XS2,Granite Exit South 2,,,9,
